title|author|isbn|publisher|publication_year|category|quantity
Sincronicidade|Carl Gustav Jung|9788535931235|Vozes|2015|Psicologia|2
Fundamentos de Psicologia Analítica|Carl Gustav Jung|9788535928716|Vozes|2014|Psicologia|2
Civilização em Transição|Carl Gustav Jung|9788535930955|Vozes|2012|Psicologia|2
O Desenvolvimento da Personalidade|Carl Gustav Jung|9788535929362|Vozes|2014|Psicologia|2
A Prática da Psicoterapia|Carl Gustav Jung|9788535931304|Vozes|2015|Psicologia|2
Símbolos da Transformação|Carl Gustav Jung|9788535928976|Vozes|2014|Psicologia|2
Mysterium Coniunctionis|Carl Gustav Jung|9788535930870|Vozes|2012|Psicologia|2
A Energia Psíquica|Carl Gustav Jung|9788535929546|Vozes|2015|Psicologia|2
Psicogênese das Doenças Mentais|Carl Gustav Jung|9788535931426|Vozes|2016|Psicologia|2
Estudos Experimentais|Carl Gustav Jung|9788535928709|Vozes|2014|Psicologia|2
Psicologia e Alquimia|Carl Gustav Jung|9788535930092|Vozes|2012|Psicologia|2
Ab-reação, Análise dos Sonhos, Transferência|Carl Gustav Jung|9788535929225|Vozes|2014|Psicologia|2
Freud e a Psicanálise|Carl Gustav Jung|9788535931197|Vozes|2014|Psicologia|2
Estudos sobre Psicologia Analítica|Carl Gustav Jung|9788535928976|Vozes|2014|Psicologia|2
A Vida Simbólica|Carl Gustav Jung|9788535930634|Vozes|2012|Psicologia|2
Resposta a Jó|Carl Gustav Jung|9788535929379|Vozes|2014|Psicologia|2
Psicologia e Educação|Carl Gustav Jung|9788535931540|Vozes|2016|Psicologia|2
A Arte de Amar|Erich Fromm|9788535930801|Zahar|2012|Psicologia|3
O Medo à Liberdade|Erich Fromm|9788535929096|Zahar|2014|Psicologia|2
Análise do Homem|Erich Fromm|9788535931723|Zahar|2017|Psicologia|2
Ter ou Ser?|Erich Fromm|9788535928600|Zahar|2014|Filosofia|3
A Revolução da Esperança|Erich Fromm|9788535930252|Zahar|2012|Psicologia|2
Psicanálise da Sociedade Contemporânea|Erich Fromm|9788535929867|Zahar|2016|Psicologia|2
O Coração do Homem|Erich Fromm|9788535931990|Zahar|2017|Psicologia|2
A Grandeza e Limitações do Pensamento de Freud|Erich Fromm|9788535928228|Zahar|2013|Psicologia|2
Anatomia da Destrutividade Humana|Erich Fromm|9788535930993|Zahar|2012|Psicologia|2
O Inconsciente|Sigmund Freud|9788535930993|Companhia das Letras|2012|Psicanálise|2
Ensaio Sobre a Cegueira|José Saramago|9788535929416|Companhia das Letras|2015|Romance|4
O Xangô de Baker Street|Jô Soares|9788535902839|Companhia das Letras|2014|Romance Policial|3
O Homem que Matou Getúlio Vargas|Jô Soares|9788535912272|Companhia das Letras|2011|Romance Histórico|2
As Esganadas|Jô Soares|9788535920505|Companhia das Letras|2013|Romance Policial|3
Assassinatos na Academia Brasileira de Letras|Jô Soares|9788535929928|Companhia das Letras|2015|Romance Policial|3
Tarifa de Embarque|Antônio Carlos Viana|9788535909548|Record|2012|Romance|2
A Majestade do Xingu|Moacyr Scliar|9788535910483|Companhia das Letras|2011|Romance|2
O Centauro no Jardim|Moacyr Scliar|9788535916607|Companhia das Letras|2012|Romance|3
A Estranha Nação de Rafael Mendes|Moacyr Scliar|9788535918977|Companhia das Letras|2013|Romance|2
Os Voluntários|Moacyr Scliar|9788535922110|Companhia das Letras|2014|Romance|2
Max e os Felinos|Moacyr Scliar|9788535925258|L&PM|2015|Romance|3
A Mulher que Escreveu a Bíblia|Moacyr Scliar|9788535928396|Companhia das Letras|2014|Romance|2
Manual da Paixão Solitária|Moacyr Scliar|9788535930764|Companhia das Letras|2012|Romance|2
Enigma da Esfinge|Moacyr Scliar|9788535932096|Companhia das Letras|2017|Romance|2
Sonhos Tropicais|Moacyr Scliar|9788535909630|Companhia das Letras|2011|Romance Histórico|2
Cavalos e Homens|Moacyr Scliar|9788535912395|Companhia das Letras|2011|Contos|2
A Orelha de Van Gogh|Moacyr Scliar|9788535916744|Companhia das Letras|2012|Contos|2
Histórias que os Jornais Não Contam|Moacyr Scliar|9788535920680|Companhia das Letras|2013|Contos|2
O Ciclo das Águas|Moacyr Scliar|9788535924077|Globo|2014|Romance|2
A Ballada do Falso Messias|Moacyr Scliar|9788535926361|Companhia das Letras|2016|Romance|2
Me Leva Brasil|Moacyr Scliar|9788535928518|L&PM|2014|Crônicas|2
Moacyr Scliar: Contos Reunidos|Moacyr Scliar|9788535930658|Companhia das Letras|2012|Contos|3
O Exército de um Homem Só|Moacyr Scliar|9788535933345|L&PM|2018|Romance|2
Saturno nos Trópicos|Moacyr Scliar|9788535909920|Companhia das Letras|2011|Romance|2
Cenas da Vida Minúscula|Moacyr Scliar|9788535913040|L&PM|2011|Romance|2
A Massagista Japonesa|Moacyr Scliar|9788535916850|Companhia das Letras|2012|Contos|2
Os Deuses de Raquel|Moacyr Scliar|9788535920772|Companhia das Letras|2013|Romance|2
Na Noite do Ventre o Diamante|Moacyr Scliar|9788535924160|Companhia das Letras|2014|Romance|2
Do Mágico ao Social|Moacyr Scliar|9788535926453|Companhia das Letras|2016|Ensaio|2
Um País Chamado Infância|Moacyr Scliar|9788535928600|Companhia das Letras|2014|Ensaio|2
Memórias de um Aprendiz de Escritor|Moacyr Scliar|9788535930733|Companhia das Letras|2012|Biografia|2
A Face Oculta|Maria Adelaide Amaral|9788535914283|Globo|2011|Romance|2
De Amor e de Guerra|Maria Adelaide Amaral|9788535920857|Globo|2013|Romance|2
Querida Mamãe|Maria Adelaide Amaral|9788535926538|Globo|2016|Romance|2
A Resistência|Maria Adelaide Amaral|9788535928662|Globo|2014|Romance|2
Chiquinha Gonzaga|Maria Adelaide Amaral|9788535930825|Globo|2012|Biografia|2
Aos Meus Amigos|Maria Adelaide Amaral|9788535932560|Globo|2017|Romance|2
Tarsila|Maria Adelaide Amaral|9788535934434|Globo|2018|Romance|2
A Dama do Lotação|Nélida Piñon|9788535910551|Record|2011|Romance|2
Fundador|Nélida Piñon|9788535914375|Record|2011|Romance|2
A República dos Sonhos|Nélida Piñon|9788535920949|Record|2013|Romance|3
A Força do Destino|Nélida Piñon|9788535926620|Record|2016|Romance|2
Vozes do Deserto|Nélida Piñon|9788535928747|Record|2014|Romance|2
O Presumível Coração da América|Nélida Piñon|9788535930894|Record|2012|Romance|2
Coração Andarilho|Nélida Piñon|9788535932637|Record|2017|Romance|2
Até Amanhã, Outra Vez|Nélida Piñon|9788535934519|Record|2018|Contos|2
A Camisa do Marido|Nélida Piñon|9788535909705|Record|2011|Contos|2
O Calor das Coisas|Nélida Piñon|9788535914467|Record|2011|Contos|2
Tempo das Frutas|Nélida Piñon|9788535921038|Record|2013|Contos|2
Paisagens das Américas|Nélida Piñon|9788535926712|Record|2016|Ensaio|2
Aprendiz de Homero|Nélida Piñon|9788535928839|Record|2014|Ensaio|2
O Pão de Cada Dia|Nélida Piñon|9788535930962|Record|2012|Crônicas|2
O Eco do Meu Nome|Nélida Piñon|9788535932720|Record|2017|Ensaio|2
Livro das Horas|Nélida Piñon|9788535934601|Record|2018|Contos|2
Casmurro de Machado|Nélida Piñon|9788535909798|Record|2011|Ensaio|2
Machado de Assis Múltiplo|Nélida Piñon|9788535914559|Record|2011|Ensaio|2
No Próximo Coração|Nélida Piñon|9788535921120|Record|2013|Romance|2
Sala de Armas|Nélida Piñon|9788535926804|Record|2016|Contos|2
Guia-Mapa de Gabriel García Márquez|Nélida Piñon|9788535928921|Record|2014|Ensaio|2
Roteiro do Silêncio|Nélida Piñon|9788535931037|Record|2012|Romance|2
Aquela Tarde no Hotel Biltmore|Nélida Piñon|9788535932812|Record|2017|Contos|2
A Árvore das Palavras|Nélida Piñon|9788535934693|Record|2018|Ensaio|2
Mulher no Espelho|Martha Medeiros|9788535914641|L&PM|2011|Romance|3
Feliz por Nada|Martha Medeiros|9788535921212|L&PM|2013|Crônicas|4
Doidas e Santas|Martha Medeiros|9788535926896|L&PM|2016|Crônicas|4
Trem-Bala|Martha Medeiros|9788535929010|L&PM|2014|Romance|3
A Distância das Coisas|Martha Medeiros|9788535931129|L&PM|2012|Romance|2
Divã|Martha Medeiros|9788535909880|L&PM|2011|Romance|4
Montanha-Russa|Martha Medeiros|9788535914733|L&PM|2011|Crônicas|3
Tudo o Que Você Precisa para Ser Feliz|Martha Medeiros|9788535921304|L&PM|2013|Crônicas|3
Por Que Não Dancei|Martha Medeiros|9788535926988|L&PM|2016|Crônicas|3
A Lição de Borges|Martha Medeiros|9788535929102|L&PM|2014|Romance|2
Retratos|Martha Medeiros|9788535931211|L&PM|2012|Crônicas|3
Posso Não Acreditar em Você|Martha Medeiros|9788535932904|L&PM|2017|Romance|2
De Amor e de Amizade|Martha Medeiros|9788535934785|L&PM|2018|Crônicas|3
Poesia Reunida|Martha Medeiros|9788535909972|L&PM|2011|Poesia|2
Um Por Todos|Martha Medeiros|9788535914825|L&PM|2011|Crônicas|2
Anotações do Cotidiano|Martha Medeiros|9788535921396|L&PM|2013|Crônicas|2
Notas da Vida Cotidiana|Martha Medeiros|9788535927071|L&PM|2016|Crônicas|2
Viva Como se Fosse Morrer Amanhã|Martha Medeiros|9788535929195|L&PM|2014|Crônicas|3
Só Por Hoje|Martha Medeiros|9788535931303|L&PM|2012|Crônicas|2
Toda Terça|Martha Medeiros|9788535932996|L&PM|2017|Crônicas|3
30 Anos sem Maria Callas|Martha Medeiros|9788535934877|L&PM|2018|Romance|2
Não Era Você que Eu Esperava|Martha Medeiros|9788535909064|L&PM|2011|Crônicas|3
Cidadão Francês|Adriana Falcão|9788535914917|Salamandra|2011|Romance|2
A Máquina|Adriana Falcão|9788535921488|Salamandra|2013|Romance Juvenil|3
Luna Clara e Apolo 11|Adriana Falcão|9788535927163|Moderna|2016|Literatura Infantil|4
O Pequeno Príncipe Preto|Rodrigo França|9788535935141|Nova Fronteira|2019|Literatura Infantil|5
Amoras|Emicida|9788535933673|Companhia das Letrinhas|2018|Literatura Infantil|6
E Foi Assim que Eu e a Escuridão Ficamos Amigas|Emicida|9788535935158|Companhia das Letrinhas|2019|Literatura Infantil|5
Sulwe|Lupita Nyongo|9788535934168|Rocco|2019|Literatura Infantil|4
O Cabelo de Lelê|Valéria Belém|9788535909156|Companhia das Letrinhas|2012|Literatura Infantil|3
Betina|Nilma Lino Gomes|9788535927248|Mazza Edições|2016|Literatura Infantil|3
Menina Bonita do Laço de Fita|Ana Maria Machado|9788535909248|Ática|2012|Literatura Infantil|5
Chapeuzinho Amarelo|Chico Buarque|9788535914009|José Olympio|2011|Literatura Infantil|4
O Menino Maluquinho|Ziraldo|9788535921571|Melhoramentos|2013|Literatura Infantil|6
A Turma da Mônica: Laços|Mauricio de Sousa|9788535927330|Panini|2016|Quadrinhos|5
O Guarani em Quadrinhos|Mauricio de Sousa|9788535929287|Panini|2014|Quadrinhos|3
Dom Casmurro em Quadrinhos|Mauricio de Sousa|9788535931395|Panini|2012|Quadrinhos|3
Grande Sertão: Veredas em Quadrinhos|Eloar Guazzelli|9788535933765|Companhia das Letras|2018|Quadrinhos|2
Capitães da Areia em Quadrinhos|Arnaldo Branco|9788535935248|Companhia das Letras|2019|Quadrinhos|3
O Cortiço em Quadrinhos|Ivan Jaf|9788535909330|Ática|2012|Quadrinhos|2
Memórias Póstumas de Brás Cubas em Quadrinhos|Wellington Srbek|9788535921663|Nemo|2013|Quadrinhos|2
Vidas Secas em Quadrinhos|Arnaldo Branco|9788535927422|Record|2016|Quadrinhos|2
O Alienista em Quadrinhos|Fábio Moon|9788535929379|Agir|2014|Quadrinhos|3
Daytripper|Fábio Moon|9788535931488|Panini|2012|Quadrinhos|3
De:Tales - Histórias de Irmãos|Fábio Moon|9788535934076|Veneta|2019|Quadrinhos|2
Meu Amigo Dahmer|Derf Backderf|9788535921755|DarkSide Books|2013|Quadrinhos|3
Maus|Art Spiegelman|9788535927514|Companhia das Letras|2016|Quadrinhos|4
Persépolis|Marjane Satrapi|9788535929464|Companhia das Letras|2014|Quadrinhos|4
V de Vingança|Alan Moore|9788535931571|Panini|2012|Quadrinhos|4
Watchmen|Alan Moore|9788535933857|Panini|2018|Quadrinhos|5
Sandman: Prelúdios e Noturnos|Neil Gaiman|9788535909422|Panini|2012|Quadrinhos|5
Sandman: A Casa de Bonecas|Neil Gaiman|9788535921847|Panini|2013|Quadrinhos|4
Sandman: Terra dos Sonhos|Neil Gaiman|9788535927606|Panini|2016|Quadrinhos|4
Sandman: Estação das Brumas|Neil Gaiman|9788535929556|Panini|2014|Quadrinhos|4
Sandman: Um Jogo de Você|Neil Gaiman|9788535931663|Panini|2012|Quadrinhos|3
Sandman: Vidas Breves|Neil Gaiman|9788535933949|Panini|2018|Quadrinhos|3
American Gods|Neil Gaiman|9788535909514|Intrínseca|2012|Fantasia|4
Deuses Americanos|Neil Gaiman|9788535921939|Intrínseca|2013|Fantasia|4
Bons Presságios|Neil Gaiman|9788535927698|Intrínseca|2016|Fantasia|3
Lugar Nenhum|Neil Gaiman|9788535929648|Intrínseca|2014|Fantasia|3
Deuses Americanos: A Sombra|Neil Gaiman|9788535931755|Intrínseca|2012|Fantasia|3
Coraline|Neil Gaiman|9788535934031|Intrínseca|2019|Literatura Juvenil|4
O Oceano no Fim do Caminho|Neil Gaiman|9788535909606|Intrínseca|2012|Fantasia|4
Stardust|Neil Gaiman|9788535922026|Intrínseca|2013|Fantasia|3
Norse Mythology|Neil Gaiman|9788535927781|Intrínseca|2017|Mitologia|4
Mitologia Nórdica|Neil Gaiman|9788535929730|Intrínseca|2014|Mitologia|4
A Biblioteca da Meia-Noite|Matt Haig|9788535934212|Bertrand Brasil|2021|Ficção|7
Os Humanos|Matt Haig|9788535921021|Bertrand Brasil|2013|Ficção|3
Como Parar o Tempo|Matt Haig|9788535927873|Bertrand Brasil|2017|Romance|3
Razões para Ficar Vivo|Matt Haig|9788535929822|Bertrand Brasil|2014|Não-ficção|4
Notas sobre um Planeta Nervoso|Matt Haig|9788535931847|Bertrand Brasil|2012|Não-ficção|3
Um Menino Chamado Natal|Matt Haig|9788535934304|Intrínseca|2019|Literatura Infantil|4
A Garota do Natal|Matt Haig|9788535909698|Intrínseca|2012|Literatura Infantil|3
O Poder do Agora|Eckhart Tolle|9788535922118|Sextante|2013|Autoajuda|5
Um Novo Mundo|Eckhart Tolle|9788535927965|Sextante|2017|Autoajuda|4
Praticando o Poder do Agora|Eckhart Tolle|9788535929915|Sextante|2014|Autoajuda|3
O Silêncio Fala|Eckhart Tolle|9788535931939|Sextante|2012|Autoajuda|3
Guardados no Coração|Eckhart Tolle|9788535934396|Sextante|2019|Autoajuda|3
A Arte de Aquietar a Mente|Eckhart Tolle|9788535909780|Sextante|2012|Autoajuda|3
Oneness com Toda a Vida|Eckhart Tolle|9788535922200|Sextante|2013|Autoajuda|2
Milton Hatoum: Contos Reunidos|Milton Hatoum|9788535928044|Companhia das Letras|2013|Contos|2
Dois Irmãos|Milton Hatoum|9788535910636|Companhia das Letras|2011|Romance|4
Relato de um Certo Oriente|Milton Hatoum|9788535922293|Companhia das Letras|2013|Romance|3
Cinzas do Norte|Milton Hatoum|9788535928051|Companhia das Letras|2017|Romance|3
Órfãos do Eldorado|Milton Hatoum|9788535930008|Companhia das Letras|2014|Romance|2
A Noite da Espera|Milton Hatoum|9788535932029|Companhia das Letras|2012|Romance|3
Pontos de Fuga|Milton Hatoum|9788535934489|Companhia das Letras|2019|Romance|3
A Cidade Ilhada|Milton Hatoum|9788535909872|Companhia das Letras|2012|Contos|2
Um Solitário à Espreita|Milton Hatoum|9788535922385|Companhia das Letras|2013|Crônicas|2
Literatura e Memória: Notas sobre Relato|Milton Hatoum|9788535928143|Companhia das Letras|2017|Ensaio|2
A Livraria 24 Horas do Mr. Penumbra|Robin Sloan|9788535930070|Intrínseca|2014|Ficção|3
Ajax Penumbra 1969|Robin Sloan|9788535932111|Intrínseca|2012|Ficção|2
Mr. Penumbra e o Eterno Aprendizado|Robin Sloan|9788535934571|Intrínseca|2019|Ficção|2
Sourdough|Robin Sloan|9788535909964|Intrínseca|2012|Ficção|2
A Empregada|Freida McFadden|9788535934663|Arqueiro|2023|Suspense|8
A Hóspede|Freida McFadden|9788535934755|Arqueiro|2023|Suspense|7
O Segredo da Viúva|Freida McFadden|9788535934847|Arqueiro|2023|Suspense|6
A Professora|Freida McFadden|9788535934939|Arqueiro|2024|Suspense|6
Nunca Minta para Mim|Freida McFadden|9788535935023|Arqueiro|2024|Suspense|5
Os Sete Maridos de Evelyn Hugo|Taylor Jenkins Reid|9788535922477|Paralela|2019|Romance|8
Daisy Jones and The Six|Taylor Jenkins Reid|9788535928235|Paralela|2019|Romance|7
Malibu Renasce|Taylor Jenkins Reid|9788535930162|Paralela|2021|Romance|6
Eternamente Seu|Taylor Jenkins Reid|9788535932203|Paralela|2022|Romance|5
Talvez em Outra Vida|Taylor Jenkins Reid|9788535934754|Paralela|2023|Romance|4
Um Dia de Dezembro|Josie Silver|9788535922569|Paralela|2019|Romance|6
Dois é Pouco, Três é Demais|Josie Silver|9788535928327|Paralela|2020|Romance|5
O Apartamento Esquecido|Josie Silver|9788535930254|Paralela|2021|Romance|4
Colleen Hoover - É Assim que Acaba|Colleen Hoover|9788501110886|Galera|2018|Romance|10
Colleen Hoover - É Assim que Começa|Colleen Hoover|9788501117267|Galera|2022|Romance|9
Colleen Hoover - Verity|Colleen Hoover|9788501116413|Galera|2021|Romance|8
Colleen Hoover - Ugly Love|Colleen Hoover|9788501105028|Galera|2016|Romance|7
Colleen Hoover - Confess|Colleen Hoover|9788501106315|Galera|2017|Romance|6
Colleen Hoover - November 9|Colleen Hoover|9788501109477|Galera|2018|Romance|6
Colleen Hoover - Reminders of Him|Colleen Hoover|9788501118073|Galera|2023|Romance|5
Colleen Hoover - Heart Bones|Colleen Hoover|9788501117359|Galera|2022|Romance|4
A Cinco Passos de Você|Rachael Lippincott|9788501116727|Alt|2019|Romance Juvenil|6
Todos os Nossos Dias Perfeitos|Jennifer Niven|9788501105141|Seguinte|2016|Romance Juvenil|5
Para Todos os Garotos que Já Amei|Jenny Han|9788580579451|Intrínseca|2014|Romance Juvenil|7
P.S. Ainda Amo Você|Jenny Han|9788580579468|Intrínseca|2015|Romance Juvenil|6
Agora e Para Sempre, Lara Jean|Jenny Han|9788580579475|Intrínseca|2017|Romance Juvenil|6
O Verão que Mudou Minha Vida|Jenny Han|9788501106421|Arqueiro|2017|Romance Juvenil|5
É Assim que Você Me Perde|Jenny Han|9788501109583|Arqueiro|2018|Romance Juvenil|4
Nós Nunca Vamos Voltar para Casa|Jenny Han|9788501110978|Arqueiro|2018|Romance Juvenil|4
Depois Daquele Dia|Jennifer Lynn Barnes|9788501117441|Globo Alt|2022|Romance Juvenil|5
Herança de Sangue e Cinzas|Jennifer Lynn Barnes|9788501118158|Globo Alt|2023|Suspense|5
Os Testamentos|Margaret Atwood|9788535933032|Rocco|2019|Ficção Distópica|5
O Conto da Aia|Margaret Atwood|9788535909056|Rocco|2012|Ficção Distópica|6
Alias Grace|Margaret Atwood|9788535922651|Rocco|2017|Romance Histórico|3
O Assassino Cego|Margaret Atwood|9788535928419|Rocco|2014|Romance|3
A Noiva Ladra|Margaret Atwood|9788535930346|Rocco|2012|Romance|2
O Ano do Dilúvio|Margaret Atwood|9788535932295|Rocco|2017|Ficção Científica|3
Oryx e Crake|Margaret Atwood|9788535934846|Rocco|2019|Ficção Científica|3
MaddAddam|Margaret Atwood|9788535909148|Rocco|2012|Ficção Científica|2
Hag-Seed|Margaret Atwood|9788535922743|Rocco|2017|Ficção|2
A Tenda|Margaret Atwood|9788535928501|Rocco|2014|Romance|2
Um Estranho no Ninho|Ken Kesey|9788535930438|L&PM|2012|Romance|3
Na Estrada|Jack Kerouac|9788535922835|L&PM|2017|Romance|4
Os Vagabundos Iluminados|Jack Kerouac|9788535928593|L&PM|2014|Romance|3
Big Sur|Jack Kerouac|9788535930520|L&PM|2012|Romance|2
O Apanhador no Campo de Centeio|J.D. Salinger|9788535932387|Todavia|2019|Romance|5
Nove Estórias|J.D. Salinger|9788535909240|Todavia|2019|Contos|3
Franny e Zooey|J.D. Salinger|9788535922927|Todavia|2019|Romance|3
Levantem a Cumeeira, Carpinteiros|J.D. Salinger|9788535928685|Todavia|2019|Contos|2
Admirável Mundo Novo|Aldous Huxley|9788535923018|Globo Livros|2014|Ficção Distópica|5
As Portas da Percepção|Aldous Huxley|9788535928777|Globo Livros|2015|Ensaio|3
A Ilha|Aldous Huxley|9788535930612|Globo Livros|2012|Ficção|2
Fahrenheit 451|Ray Bradbury|9788535932479|Globo Livros|2017|Ficção Distópica|5
Crônicas Marcianas|Ray Bradbury|9788535909332|Globo Livros|2012|Ficção Científica|4
O Homem Ilustrado|Ray Bradbury|9788535923100|Globo Livros|2014|Contos|3
Vinho do Estio|Ray Bradbury|9788535928869|Globo Livros|2015|Romance|2
Laranja Mecânica|Anthony Burgess|9788535930704|Aleph|2012|Ficção Distópica|4
Neuromancer|William Gibson|9788535923192|Aleph|2016|Ficção Científica|3
Snow Crash|Neal Stephenson|9788535928951|Aleph|2015|Ficção Científica|3
O Homem do Castelo Alto|Philip K. Dick|9788535930796|Aleph|2012|Ficção Científica|3
Androides Sonham com Ovelhas Elétricas?|Philip K. Dick|9788535932561|Aleph|2017|Ficção Científica|4
Ubik|Philip K. Dick|9788535909424|Aleph|2012|Ficção Científica|2
Fundação|Isaac Asimov|9788535923284|Aleph|2014|Ficção Científica|4
Fundação e Império|Isaac Asimov|9788535929043|Aleph|2015|Ficção Científica|3
Segunda Fundação|Isaac Asimov|9788535930888|Aleph|2012|Ficção Científica|3
Os Limites da Fundação|Isaac Asimov|9788535932653|Aleph|2017|Ficção Científica|3
Fundação e Terra|Isaac Asimov|9788535909516|Aleph|2012|Ficção Científica|3
Prelúdio à Fundação|Isaac Asimov|9788535923376|Aleph|2014|Ficção Científica|3
Rumo à Fundação|Isaac Asimov|9788535929135|Aleph|2015|Ficção Científica|2
Eu, Robô|Isaac Asimov|9788535930970|Aleph|2012|Ficção Científica|4
O Fim da Eternidade|Isaac Asimov|9788535932745|Aleph|2017|Ficção Científica|3
Série Robôs: Cavernas de Aço|Isaac Asimov|9788535909608|Aleph|2012|Ficção Científica|3
Série Robôs: O Sol Desvelado|Isaac Asimov|9788535923468|Aleph|2014|Ficção Científica|2
Série Robôs: Os Robôs da Alvorada|Isaac Asimov|9788535929227|Aleph|2015|Ficção Científica|2
Série Robôs: Robôs e Império|Isaac Asimov|9788535931068|Aleph|2012|Ficção Científica|2
Duna|Frank Herbert|9788535932837|Aleph|2017|Ficção Científica|6
Duna: O Messias|Frank Herbert|9788535909691|Aleph|2012|Ficção Científica|4
Duna: Os Filhos de Duna|Frank Herbert|9788535923550|Aleph|2014|Ficção Científica|4
Duna: O Imperador-Deus de Duna|Frank Herbert|9788535929319|Aleph|2015|Ficção Científica|3
Duna: Os Hereges de Duna|Frank Herbert|9788535931150|Aleph|2012|Ficção Científica|3
Duna: As Herdeiras de Duna|Frank Herbert|9788535932929|Aleph|2017|Ficção Científica|3
Solaris|Stanisław Lem|9788535909783|Aleph|2012|Ficção Científica|3
2001: Uma Odisseia no Espaço|Arthur C. Clarke|9788535923642|Aleph|2014|Ficção Científica|4
2010: Uma Odisseia no Espaço 2|Arthur C. Clarke|9788535929401|Aleph|2015|Ficção Científica|3
2061: Uma Odisseia no Espaço 3|Arthur C. Clarke|9788535931242|Aleph|2012|Ficção Científica|2
3001: Uma Odisseia Final|Arthur C. Clarke|9788535933011|Aleph|2017|Ficção Científica|2
Encontro com Rama|Arthur C. Clarke|9788535909875|Aleph|2012|Ficção Científica|3
O Fim da Infância|Arthur C. Clarke|9788535923734|Aleph|2014|Ficção Científica|3
A Cidade e as Estrelas|Arthur C. Clarke|9788535929493|Aleph|2015|Ficção Científica|2
Guerra Mundial Z|Max Brooks|9788535931334|Leya|2012|Terror|4
Guia de Sobrevivência Zumbi|Max Brooks|9788535933103|Leya|2017|Terror|3
Minecraft: A Ilha|Max Brooks|9788535909967|Intrínseca|2018|Literatura Juvenil|4
Minecraft: A Montanha|Max Brooks|9788535923826|Intrínseca|2019|Literatura Juvenil|3
A Guerra dos Mundos|H.G. Wells|9788535929585|Aleph|2015|Ficção Científica|3
A Máquina do Tempo|H.G. Wells|9788535931426|Aleph|2012|Ficção Científica|3
O Homem Invisível|H.G. Wells|9788535933195|Aleph|2017|Ficção Científica|3
A Ilha do Dr. Moreau|H.G. Wells|9788535910058|Aleph|2012|Ficção Científica|2
Vinte Mil Léguas Submarinas|Júlio Verne|9788535923918|Zahar|2014|Ficção Científica|4
A Volta ao Mundo em 80 Dias|Júlio Verne|9788535929677|Zahar|2015|Aventura|5
Viagem ao Centro da Terra|Júlio Verne|9788535931518|Zahar|2012|Ficção Científica|4
Da Terra à Lua|Júlio Verne|9788535933287|Zahar|2017|Ficção Científica|3
A Ilha Misteriosa|Júlio Verne|9788535910140|Zahar|2012|Aventura|3
Cinco Semanas em um Balão|Júlio Verne|9788535924007|Zahar|2014|Aventura|2
As Aventuras do Capitão Hatteras|Júlio Verne|9788535929769|Zahar|2015|Aventura|2
Os Filhos do Capitão Grant|Júlio Verne|9788535931600|Zahar|2012|Aventura|2
Robinson Crusoé|Daniel Defoe|9788535933379|Zahar|2017|Aventura|3
As Viagens de Gulliver|Jonathan Swift|9788535910232|Zahar|2012|Sátira|3
A Ilha do Tesouro|Robert Louis Stevenson|9788535924099|Zahar|2014|Aventura|4
O Velho e o Mar|Ernest Hemingway|9788535929851|Bertrand Brasil|2015|Romance|4
Por Quem os Sinos Dobram|Ernest Hemingway|9788535931692|Bertrand Brasil|2012|Romance|3
O Sol Também se Levanta|Ernest Hemingway|9788535933461|Bertrand Brasil|2017|Romance|3
Adeus às Armas|Ernest Hemingway|9788535910324|Bertrand Brasil|2012|Romance|3
Paris é uma Festa|Ernest Hemingway|9788535924181|Bertrand Brasil|2014|Memórias|3
As Neves do Kilimanjaro|Ernest Hemingway|9788535929943|Bertrand Brasil|2015|Contos|2
O Grande Gatsby|F. Scott Fitzgerald|9788535931784|L&PM|2012|Romance|5
Suave é a Noite|F. Scott Fitzgerald|9788535933553|L&PM|2017|Romance|3
Este Lado do Paraíso|F. Scott Fitzgerald|9788535910416|L&PM|2012|Romance|2
Os Belos e Malditos|F. Scott Fitzgerald|9788535924273|L&PM|2014|Romance|2
O Último Magnata|F. Scott Fitzgerald|9788535930035|L&PM|2015|Romance|2
Contos da Era do Jazz|F. Scott Fitzgerald|9788535931876|L&PM|2012|Contos|2
O Som e a Fúria|William Faulkner|9788535933645|Cosac Naify|2017|Romance|2
Enquanto Agonizo|William Faulkner|9788535910508|Cosac Naify|2012|Romance|3
Luz em Agosto|William Faulkner|9788535924365|Cosac Naify|2014|Romance|2
Absalão, Absalão!|William Faulkner|9788535930127|Cosac Naify|2015|Romance|2
Palmeiras Selvagens|William Faulkner|9788535931968|Cosac Naify|2012|Romance|2
As Vinhas da Ira|John Steinbeck|9788535933737|Record|2017|Romance|3
A Leste do Éden|John Steinbeck|9788535910590|Record|2012|Romance|3
Ratos e Homens|John Steinbeck|9788535924457|Record|2014|Romance|4
Boêmios Errantes|John Steinbeck|9788535930219|Record|2015|Romance|2
A Pérola|John Steinbeck|9788535932050|Record|2012|Romance|2
O Inverno da Nossa Desconsolação|John Steinbeck|9788535933829|Record|2017|Romance|2
Moby Dick|Herman Melville|9788535910682|Cosac Naify|2012|Romance|3
Bartleby, o Escrivão|Herman Melville|9788535924549|Cosac Naify|2014|Contos|2
Billy Budd|Herman Melville|9788535930301|Cosac Naify|2015|Romance|2
